country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
fr,linkedin.com,20926,2,False,False
fr,booking.com,34863,6,False,False
fr,wikipedia.org,202422,1,False,False
fr,voici.fr,198330,15,False,False
fr,live.com,24904,0,True,False
fr,voici.fr,2259,10,False,False
fr,20minutes.fr,174,14,False,False
fr,programme-tv.net,8218,10,False,False
fr,bfmtv.com,56339,41,False,False
fr,ladepeche.fr,203352,85,False,False
fr,pinterest.fr,20473,10,False,False
fr,yahoo.com,57809,4,False,False
fr,orange.fr,36492,40,False,False
fr,index-education.net,25540,4,False,False
fr,leboncoin.fr,1307,5,False,False
fr,wikipedia.org,35393,1,False,False
fr,linkedin.com,35625,2,False,False
fr,journaldesfemmes.fr,3215,24,False,False
fr,doctolib.fr,20917,7,False,False
fr,amazon.fr,20473,6,False,False
fr,impots.gouv.fr,48072,2,False,False
fr,programme-tv.net,20473,8,False,False
fr,20minutes.fr,16276,14,False,False
fr,yahoo.com,50628,4,False,False
fr,booking.com,203352,5,False,False
fr,sfr.fr,20473,0,False,True
fr,impots.gouv.fr,33835,2,False,False
fr,programme-tv.net,39180,8,False,False
fr,index-education.net,202422,4,False,False
fr,free.fr,50620,4,False,False
fr,facebook.com,24904,3,False,False
fr,booking.com,198330,4,False,False
fr,booking.com,202422,5,False,False
fr,20minutes.fr,25117,14,False,False
fr,bfmtv.com,62000,41,False,False
fr,tiktok.com,12626,13,False,False
fr,meteofrance.com,51083,42,False,False
fr,ladepeche.fr,42487,93,False,False
fr,facebook.com,16509,3,False,False
fr,yahoo.com,12876,4,False,False
fr,wikipedia.org,43619,1,False,False
fr,meteofrance.com,198330,37,False,False
fr,free.fr,174,4,False,False
fr,bfmtv.com,20766,30,False,False
fr,meteofrance.com,202422,33,False,False
fr,tiktok.com,208574,12,False,False
fr,ouest-france.fr,198551,9,False,False
fr,tiktok.com,25540,16,False,False
fr,lefigaro.fr,51083,11,False,False
fr,voici.fr,20917,11,False,False
fr,meteofrance.com,13193,30,False,False
fr,tiktok.com,1307,17,False,False
fr,bing.com,35393,1,False,False
fr,instagram.com,29075,2,False,False
fr,20minutes.fr,35393,13,False,False
fr,free.fr,35625,4,False,False
fr,tiktok.com,13193,16,False,False
fr,bfmtv.com,39305,23,False,False
fr,msn.com,2259,7,False,False
fr,cdiscount.com,39305,2,False,False
fr,amazon.fr,16347,3,False,False
fr,lemonde.fr,197922,4,False,False
fr,instagram.com,42845,2,False,False
fr,instagram.com,5410,2,False,False
