Domain,Tracker or advertiser?,Source,Source Redirect/Error/More Info,Date Accessed,Checked,,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win
erato.hr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,bttrack.com
erstegroup.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,bweb.bg
eu-1-id5-sync.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,caroda.io
fksnk.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,chocolateplatform.com
flip-pay.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,clickcertain.com
focus.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,cmp-resources.link
frontimg.dk,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,connectad.io
ftven.fr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,contextweb.com
gexperiments1.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,contributors.ro
gexperiments2.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,convergeselect.net
globalmediagroup.pt,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,cookiereports.com
globalnoticias.pt,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,creativecdn.com
google.bg,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,crm4d.com
google.by,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,cxpublic.com
google.com.sv,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,deepintent.com
google.com.tr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,deliverysapgoblet.com
google.dk,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,demand.supply
google.es,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,dmgmediaprivacy.co.uk
google.ge,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,dobremedia.sk
google.gr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,dsch.ie
google.hr,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,e-planning.net
